,matched_id,rowid,school,district_y,address_y,original_name_y
186,1664,1664,Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle(LAUSD),Los Angeles Unified,5041 Sunnyslope Ave.,Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle(LAUSD)
187,1664,1664,Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle(LAUSD),Los Angeles Unified,5041 Sunnyslope Ave.,Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle(LAUSD)
188,1668,1668,Robert Fulton College Preparatory(LAUSD),Los Angeles Unified,7477 Kester Ave.,Robert Fulton College Preparatory(LAUSD)
189,1624,1624,Robert Louis Stevenson College and Career Preparatory(LAUSD),Los Angeles Unified,725 South Indiana St.,Robert Louis Stevenson College and Career Preparatory(LAUSD)
190,1624,1624,Robert Louis Stevenson College and Career Preparatory(LAUSD),Los Angeles Unified,725 South Indiana St.,Robert Louis Stevenson College and Career Preparatory(LAUSD)
191,1409,1409,Theodore Roosevelt Senior High(LAUSD),Los Angeles Unified,456 South Mathews St.,Theodore Roosevelt Senior High(LAUSD)
192,1409,1409,Theodore Roosevelt Senior High(LAUSD),Los Angeles Unified,456 South Mathews St.,Theodore Roosevelt Senior High(LAUSD)
193,1632,1632,Rosewood Avenue Elementary(LAUSD),Los Angeles Unified,503 North Croft Ave.,Rosewood Avenue Elementary(LAUSD)
194,2341,2341,San Pascual Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet(LAUSD),Los Angeles Unified,815 San Pascual Ave.,San Pascual Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet(LAUSD)
195,2342,2342,San Pedro Senior High(LAUSD),Los Angeles Unified,1001 West 15th St.,San Pedro Senior High(LAUSD)
196,2342,2342,San Pedro Senior High(LAUSD),Los Angeles Unified,1001 West 15th St.,San Pedro Senior High(LAUSD)
197,2342,2342,San Pedro Senior High(LAUSD),Los Angeles Unified,1001 West 15th St.,San Pedro Senior High(LAUSD)
198,2342,2342,San Pedro Senior High(LAUSD),Los Angeles Unified,1001 West 15th St.,San Pedro Senior High(LAUSD)
199,2342,2342,San Pedro Senior High(LAUSD),Los Angeles Unified,1001 West 15th St.,San Pedro Senior High(LAUSD)
200,2342,2342,San Pedro Senior High(LAUSD),Los Angeles Unified,1001 West 15th St.,San Pedro Senior High(LAUSD)
201,2293,2293,CDS Secondary(LAUSD),Los Angeles Unified,727 South Wilson St.,CDS Secondary(LAUSD)
202,1839,1839,South East High(LAUSD),Los Angeles Unified,2720 Tweedy Blvd.,South East High(LAUSD)
203,1843,1843,South Shores/CSUDH Visual and Performing Arts(LAUSD),Los Angeles Unified,2060 West 35th St.,South Shores/CSUDH Visual and Performing Arts(LAUSD)
204,1468,1468,Stanford Primary Center(LAUSD),Los Angeles Unified,3020 Kansas Ave.,Stanford Primary Center(LAUSD)
205,1948,1948,Sunrise Elementary(LAUSD),Los Angeles Unified,2821 East Seventh St.,Sunrise Elementary(LAUSD)
