id,district,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
699,LAUSD,,Helen Bernstein Senior High Science Tech Engineering Math (LAUSD),Helen Bernstein Senior High Science Tech Engineering Math,True,1309 N Wilton Pl,,Hollywood,,,False
700,LAUSD,Active,Heliotrope Avenue Elementary (LAUSD),Heliotrope Avenue Elementary,True,5911 Woodlawn Ave,5911 Woodlawn Ave.,Maywood,Maywood, 100.0,False
701,LAUSD,,Henry David Thoreau Continuation High (LAUSD),Henry David Thoreau Continuation High,True,5429 Quakertown Ave,,Woodland Hills,, 95.0,False
702,LAUSD,,Henry T Gage Middle School (LAUSD),Henry T Gage Middle School,True,2880 E Gage Ave,,Huntington Park,, 95.0,False
703,LAUSD,,Henry T Gage Middle School Science/Tech/Math Magnet (LAUSD),Henry T Gage Middle School Science/Tech/Math Magnet,True,2880 E Gage Ave,,Huntington Park,, 90.0,False
704,LAUSD,Active,Herrick Avenue Elementary (LAUSD),Herrick Avenue Elementary,True,13350 Herrick Ave,13350 Herrick Ave.,Sylmar,Sylmar, 100.0,False
705,LAUSD,Active,Hesby Oaks Leadership Charter (LAUSD),Hesby Oaks Leadership Charter,True,15530 Hesby St,15530 Hesby St.,Encino,Encino, 100.0,False
706,LAUSD,,Highland Park Continuation High (LAUSD),Highland Park Continuation High,True,928 N Avenue 53,,Los Angeles,, 95.0,False
707,LAUSD,,Hilda L Solis Learning Academy (LAUSD),Hilda L Solis Learning Academy,True,319 N Humphreys Ave,,Los Angeles,, 90.0,False
708,LAUSD,Active,Hillcrest Drive Elementary (LAUSD),Hillcrest Drive Elementary,True,4041 Hillcrest Dr,4041 Hillcrest Dr.,Los Angeles,Los Angeles, 100.0,False
709,LAUSD,,Hillcrest Drive Elementary DL Two-Way Im Spanish (LAUSD),Hillcrest Drive Elementary DL Two-Way Im Spanish,True,4041 Hillcrest Dr,,Los Angeles,, 90.0,False
710,LAUSD,,Hillcrest Drive Elementary Music Magnet (LAUSD),Hillcrest Drive Elementary Music Magnet,True,4041 Hillcrest Dr,,Los Angeles,, 90.0,False
711,LAUSD,Active,Hillery T Broadous Elementary (LAUSD),Hillery T Broadous Elementary,True,12561 Filmore St,12561 Filmore St.,Pacoima,Pacoima, 100.0,False
712,LAUSD,,Hillery T Broadous Elementary Science/Tech/Math Magnet (LAUSD),Hillery T Broadous Elementary Science/Tech/Math Magnet,True,12561 Filmore St,,Pacoima,, 90.0,False
713,LAUSD,Active,Hillside Elementary (LAUSD),Hillside Elementary (San Lorenzo Unified),True,120 E Avenue 35,15980 Marcella St.,Los Angeles,San Leandro, 100.0,True
714,LAUSD,Active,Hillside Elementary (LAUSD),Hillside Elementary (Los Angeles Unified),True,120 E Avenue 35,120 East Avenue 35,Los Angeles,Los Angeles, 100.0,True
715,LAUSD,Closed,Hillside Elementary (LAUSD),Hillside Elementary (Torrance Unified),True,120 E Avenue 35,25600 Crenshaw Blvd.,Los Angeles,Torrance, 100.0,True
716,LAUSD,Active,Hillside Elementary (LAUSD),Hillside Elementary (Chawanakee Unified),True,120 E Avenue 35,800 Treasure Hills Dr.,Los Angeles,Madera, 100.0,True
717,LAUSD,Active,Hillside Elementary (LAUSD),Hillside Elementary (San Bernardino City Unified),True,120 E Avenue 35,4975 North Mayfield Ave.,Los Angeles,San Bernardino, 100.0,True
