school,district,street,city,state,zip
Garey High (Pomona Unified),Pomona Unified,321 West Lexington Ave.,Pomona,CA,91766-5254
Golden Springs Elementary (Pomona Unified),Pomona Unified,245 South Ballena Dr.,Diamond Bar,CA,91765-1758
Grace Christian School (Pomona Unified),Pomona Unified,191 E Hanna St,Colton,CA,92324-2742
Harrison Elementary (Pomona Unified),Pomona Unified,425 East Harrison Ave.,Pomona,CA,91767-1913
Haynes Family of Programs (Pomona Unified),Pomona Unified,610 N. San Antonio Ave.,Pomona,CA,91767-4908
Kellogg Polytechnic Elementary (Pomona Unified),Pomona Unified,610 Medina Ave.,Pomona,CA,91768-2517
Orion International Academy (Pomona Unified),Pomona Unified,2350 S. Garey Ave,Pomona,CA,91766-5805
Palomares Academy of Health Science (Pomona Unified),Pomona Unified,2211 North Orange Grove Ave.,Pomona,CA,91767-2319
Pantera Elementary (Pomona Unified),Pomona Unified,801 Pantera Dr.,Diamond Bar,CA,91765-4637
Park West High (Continuation) (Pomona Unified),Pomona Unified,"1460 West Holt Ave., Ste. 100",Pomona,CA,91767-2832
Philadelphia Elementary (Pomona Unified),Pomona Unified,600 East Philadelphia St.,Pomona,CA,91766-5799
Pomona Alternative (Pomona Unified),Pomona Unified,"1460 East Holt Ave., Ste. 100",Pomona,CA,91767-5851
Pomona Catholic High School (Pomona Unified),Pomona Unified,533 West Holt Ave.,Pomona,CA,91768-3606
Pomona Catholic Middle School (Pomona Unified),Pomona Unified,533 West Holt Ave.,Pomona,CA,91768-3606
Pomona High (Pomona Unified),Pomona Unified,475 Bangor St.,Pomona,CA,91767-2443
Ranch Hills Elementary (Pomona Unified),Pomona Unified,2 Trabuco Pl.,Pomona,CA,91766-3325
Roosevelt Elementary (Pomona Unified),Pomona Unified,701 North Huntington Blvd.,Pomona,CA,91768-3537
San Antonio Elementary (Pomona Unified),Pomona Unified,855 East Kingsley Ave.,Pomona,CA,91767-4919
San Jose Elementary (Pomona Unified),Pomona Unified,2015 Cadillac Dr.,Pomona,CA,91767-2751
School of Extended Educational Options (Pomona Unified),Pomona Unified,"1460 East Holt Ave., Ste. 100",Pomona,CA,91767-5862
Simons Middle (Pomona Unified),Pomona Unified,900 East Franklin Ave.,Pomona,CA,91766-5362
St. Joseph Elementary School (Pomona Unified),Pomona Unified,1200 W. Holt Ave.,Pomona,CA,91768-3458
Vejar Elementary (Pomona Unified),Pomona Unified,950 West Grand Ave.,Pomona,CA,91766-3325
Village Academy High School at Indian Hill (Pomona Unified),Pomona Unified,1444 East Holt Ave.,Pomona,CA,91767-5865
Walnut Montessori-Preschool Academy (Pomona Unified),Pomona Unified,3457 South Nogales St.,West Covina,CA,91792-2701
Adult and Career Education (Pomona Unified),Pomona Unified,1515 West Mission Blvd.,Pomona,CA,91766-1233
Alcott Elementary (Pomona Unified),Pomona Unified,1600 South Towne Ave.,Pomona,CA,91766-5367
Allison Elementary (Pomona Unified),Pomona Unified,1011 Russell Pl.,Pomona,CA,91767-3409
American Christian Academy (Pomona Unified),Pomona Unified,395 San Bernardino Ave.,Pomona,CA,91767-3141
Armstrong Elementary (Pomona Unified),Pomona Unified,22750 Beaverhead Dr.,Diamond Bar,CA,91765-1566
Washington Elementary (Pomona Unified),Pomona Unified,975 East Ninth St.,Pomona,CA,91766-3770
Westmont Elementary (Pomona Unified),Pomona Unified,1780 West Ninth St.,Pomona,CA,91766-1058
PUC Triumph Charter Academy and PUC Triumph Charter High (PUC District),PUC District,13361 Glenoaks Blvd.,Sylmar,CA,91342-4265
PUC CALS Middle School and Early College High (PUC District),PUC District,7350 North Figueroa St.,Los Angeles,CA,90041-2547
PUC Community Charter Elementary (PUC District),PUC District,14019 Sayre St.,Sylmar,CA,91342-4265
PUC Community Charter Middle and PUC Community Charter Early College High (PUC District),PUC District,11500 Eldridge Ave.,Lake View Terrace,CA,91342-6522
PUC Early College Academy for Leaders and Scholars (ECALS) (PUC District),PUC District,2050 San Fernando Rd.,Los Angeles,CA,90065-1267
PUC Excel Charter Academy (PUC District),PUC District,1855 North Main St.,Los Angeles,CA,90031-3227
PUC Inspire Charter Academy (PUC District),PUC District,12550 Van Nuys Blvd.,Pacoima,CA,91331-1354
PUC Lakeview Charter Academy (PUC District),PUC District,11465 Kagel Canyon St.,Lake View Terrace,CA,91342-6505
PUC Lakeview Charter High (PUC District),PUC District,13361 Glenoaks Blvd.,Sylmar,CA,91342-2110
PUC Milagro Charter (PUC District),PUC District,1855 North Main St.,Los Angeles,CA,90031-3227
PUC Nueva Esperanza Charter Academy (PUC District),PUC District,1218 North Fourth St.,San Fernando,CA,91340-2314
The Knowing Garden (Redondo Beach Unified),Redondo Beach Unified,1101 Camino Real,Redondo Beach,CA,90277-4531
Tulita Elementary (Redondo Beach Unified),Redondo Beach Unified,1520 Prospect Ave.,Redondo Beach,CA,90277-5113
Tuvia School of Temple Menorah (Redondo Beach Unified),Redondo Beach Unified,1101 Camino Real,Redondo Beach,CA,90277-4531
Valor Christian Academy (Redondo Beach Unified),Redondo Beach Unified,525 Earle Ln.,Redondo Beach,CA,90278-5004
Washington Elementary (Redondo Beach) (Redondo Beach Unified),Redondo Beach Unified,1100 Lilienthal Ln.,Redondo Beach,CA,90278-4557
Academy of the Arts (Redondo Beach Unified),Redondo Beach Unified,2108 Vail Ave,Redondo Beach,CA,90278-2518
Adams Middle (Redondo Beach Unified),Redondo Beach Unified,2600 Ripley Ave.,Redondo Beach,CA,90278-4555
Aegean Academy (Redondo Beach Unified),Redondo Beach Unified,2229 Voorhees Ave.,Redondo Beach,CA,90278-2423
Alta Vista Elementary (Redondo Beach Unified),Redondo Beach Unified,815 Knob Hill Ave.,Redondo Beach,CA,90277-4300
Ambassador High School (Redondo Beach Unified),Redondo Beach Unified,"2300 Crenshaw Blvd, Bldg. B",Torrance,CA,90501-3324
Beryl Heights Elementary (Redondo Beach Unified),Redondo Beach Unified,920 Beryl St.,Redondo Beach,CA,90277-2236
Birney Elementary (Redondo Beach Unified),Redondo Beach Unified,1600 Green Ln.,Redondo Beach,CA,90278-3656
Jefferson Elementary (Redondo Beach Unified),Redondo Beach Unified,600 Harkness Ln.,Redondo Beach,CA,90278-4806
Lincoln Elementary (Redondo Beach Unified),Redondo Beach Unified,2223 Plant Ave.,Redondo Beach,CA,90278-2013
Madison Elementary (Redondo Beach Unified),Redondo Beach Unified,2200 MacKay Ln.,Redondo Beach,CA,90278-2509
Parras (Nick G.) Middle (Redondo Beach Unified),Redondo Beach Unified,200 North Lucia,Redondo Beach,CA,90277-3220
Patricia Dreizler Continuation High (Redondo Beach Unified),Redondo Beach Unified,1000 Del Amo St.,Redondo Beach,CA,90277-3034
Redondo Beach Learning Academy (Redondo Beach Unified),Redondo Beach Unified,1000 Del Amo St.,Redondo Beach,CA,90277-3934
Redondo Union High (Redondo Beach Unified),Redondo Beach Unified,One Sea Hawk Way,Redondo Beach,CA,90277-3125
South Bay Adult (Redondo Beach Unified),Redondo Beach Unified,3401 Inglewood Ave.,Redondo Beach,CA,90278
South Bay Faith Academy (Redondo Beach Unified),Redondo Beach Unified,101 South Pacific Coast Hwy.,Redondo Beach,CA,90278-3351
St. Lawrence Martyr Elementary (Redondo Beach Unified),Redondo Beach Unified,1950 South Prospect Ave.,Redondo Beach,CA,90277-6003
Rise Kohyang Elementary (Rise Kohyang District),Rise Kohyang District,600 South La Fayette Park Pl.,Los Angeles,CA,90057-3243
Rise Kohyang High (Rise Kohyang District),Rise Kohyang District,600 South Lafayette Park Pl.,Los Angeles,CA,90057
Rise Kohyang Middle (Rise Kohyang District),Rise Kohyang District,"3020 Wilshire Blvd., 2nd Fl.",Los Angeles,CA,90013-1120
Emma W. Shuey Elementary (Rosemead Elementary),Rosemead Elementary,8472 East Wells St.,Rosemead,CA,91770-1600
Encinita Elementary (Rosemead Elementary),Rosemead Elementary,4515 North Encinita Ave.,Rosemead,CA,91770-1433
Mildred B. Janson Elementary (Rosemead Elementary),Rosemead Elementary,8628 East Marshall,Rosemead,CA,91770-1814
Muscatel Middle (Rosemead Elementary),Rosemead Elementary,4201 North Ivar Ave.,Rosemead,CA,91770-1322
Rosemead Christian School (Rosemead Elementary),Rosemead Elementary,9032 E. Mission Dr.,Rosemead,CA,91770-4410
Savannah Elementary (Rosemead Elementary),Rosemead Elementary,3720 North Rio Hondo Ave.,Rosemead,CA,91770-2043
California University Preparatory School (Rowland Unified),Rowland Unified,18760 Colima Rd.,Rowland Heights,CA,91748-2937
Elite Open School (Rowland Unified),Rowland Unified,"19735 Colima Rd., Ste. #2",Rowland Heights,CA,91748-3227
Farjardo - La Seda Preschool (Rowland Unified),Rowland Unified,18550 East Farjardo St.,Rowland Heights,CA,91748-4633
Giano Intermediate (Rowland Unified),Rowland Unified,3223 South Giano Ave.,West Covina,CA,91792-3229
Hollingworth Elementary (Rowland Unified),Rowland Unified,3003 East Hollingworth St.,West Covina,CA,91792-3229
Hurley Elementary (Rowland Unified),Rowland Unified,535 South Dora Guzman Ave.,La Puente,CA,91744-5608
iQ Academy California-Los Angeles (Rowland Unified),Rowland Unified,50 Moreland Rd.,Simi Valley,CA,93065-1659
Jellick Elementary (Rowland Unified),Rowland Unified,1400 South Jellick Ave.,Rowland Heights,CA,91748-1917
John A. Rowland High (Rowland Unified),Rowland Unified,2000 South Otterbein St.,Rowland Heights,CA,91748-3949
Killian Elementary (Rowland Unified),Rowland Unified,19100 East Killian St.,Rowland Heights,CA,91748-3941
Math for the Talented and Gifted (Rowland Unified),Rowland Unified,18648 Del Bonita St.,Rowland Heights,CA,91748-4609
Nogales High (Rowland Unified),Rowland Unified,401 South Nogales St.,La Puente,CA,91744-6144
Northam Elementary (Rowland Unified),Rowland Unified,17800 East Renault,La Puente,CA,91744-5333
Rorimer Elementary (Rowland Unified),Rowland Unified,18750 East Rorimer St.,La Puente,CA,91744-6063
Rowland Adult and Community Education (Rowland Unified),Rowland Unified,2100 Lerona Ave.,Rowland Heights,CA,91748-2945
Rowland Assistive Technology Academy (Rowland Unified),Rowland Unified,17840 East Villacorta St.,La Puente,CA,91744-5342
Rowland Elementary (Rowland Unified),Rowland Unified,2036 South Fullerton Rd.,Rowland Heights,CA,91748-3599
Rowland Unified Community Day (Rowland Unified),Rowland Unified,1928 Nogales St.,Rowland Heights,CA,91748-3855
Santana High (Continuation) (Rowland Unified),Rowland Unified,341 South La Seda Rd.,La Puente,CA,91744-5980
Shelyn Elementary (Rowland Unified),Rowland Unified,19500 East Nacora St.,Rowland Heights,CA,91748-3133
Southlands Christian Schools (Rowland Unified),Rowland Unified,18550 Farjardo St.,Rowland Heights,CA,91748-4633
St. Martha Elementary School (Rowland Unified),Rowland Unified,440 North Azusa Ave.,Valinda,CA,91744
Stanley G. Oswalt Academy (Rowland Unified),Rowland Unified,19501 Shadow Oak Dr.,Walnut,CA,91789-4700
Telesis Academy of Science & Math (Rowland Unified),Rowland Unified,2800 East Hollingworth St.,West Covina,CA,91792-3029
Villacorta Elementary (Rowland Unified),Rowland Unified,17840 Villacorta St.,La Puente,CA,91744-5342
Ybarra Academy for the Arts and Technology (Rowland Unified),Rowland Unified,1300 South Brea Canyon Cutoff Rd.,Walnut,CA,91789-3401
Yorbita Elementary (Rowland Unified),Rowland Unified,502 South Vidalia St.,La Puente,CA,91744-5946
Alvarado Intermediate (Rowland Unified),Rowland Unified,1901 South Desire Ave.,Rowland Heights,CA,91748-3846
Blandford Elementary (Rowland Unified),Rowland Unified,2601 Blandford Dr.,Rowland Heights,CA,91748-4816
San Antonio ROP (San Antonio ROP),San Antonio ROP,"1425 East Holt Ave., Ste. 101",Pomona,CA,91767-5821
"Beach Cities Learning, San Gabriel (San Gabriel Unified)",San Gabriel Unified,515 East Fairview Ave.,San Gabriel,CA,91776-3040
Christ Centered Pasadena Christian School (San Gabriel Unified),San Gabriel Unified,5540 N Willard Ave,San Gabriel,CA,91776-1629
Coolidge Elementary (San Gabriel Unified),San Gabriel Unified,421 North Mission Dr.,San Gabriel,CA,91775-2731
Del Mar High (San Gabriel Unified),San Gabriel Unified,312 South Del Mar Ave.,San Gabriel,CA,91776-1356
Gabrielino High (San Gabriel Unified),San Gabriel Unified,1327 South San Gabriel Blvd.,San Gabriel,CA,91776-3308
Jefferson Middle (San Gabriel Unified),San Gabriel Unified,1372 East Las Tunas Dr.,San Gabriel,CA,91776-1791
McKinley Elementary (San Gabriel Unified),San Gabriel Unified,1425 Manley Dr.,San Gabriel,CA,91776-3211
Roosevelt Elementary (San Gabriel Unified),San Gabriel Unified,401 South Walnut Grove Ave.,San Gabriel,CA,91776-2029
San Gabriel Academy (San Gabriel Unified),San Gabriel Unified,8827 East BRd.way St.,San Gabriel,CA,91776
San Gabriel Christian (San Gabriel Unified),San Gabriel Unified,117 North Pine St.,San Gabriel,CA,91775-2345
San Gabriel Mission Elementary (San Gabriel Unified),San Gabriel Unified,416 South Mission Dr.,San Gabriel,CA,91776-1252
San Gabriel Mission High School (San Gabriel Unified),San Gabriel Unified,254 South Santa Anita St.,San Gabriel,CA,91776-1140
Washington Elementary (San Gabriel Unified),San Gabriel Unified,300 North San Marino Ave.,San Gabriel,CA,91775-2998
Wilson Elementary (San Gabriel Unified),San Gabriel Unified,8317 East Sheffield Rd.,San Gabriel,CA,91775-1799
Carver Elementary (San Marino Unified),San Marino Unified,3100 Huntington Dr.,San Marino,CA,91108-2702
Clairbourn School (San Marino Unified),San Marino Unified,8400 Huntington Dr.,San Gabriel,CA,91775-1154
Huntington Middle (San Marino Unified),San Marino Unified,1700 Huntington Dr.,San Marino,CA,91108-2541
Saints Felicitas and Perpetua School (San Marino Unified),San Marino Unified,2955 Huntington Dr.,San Marino,CA,91108-2222
San Marino High (San Marino Unified),San Marino Unified,2701 Huntington Dr.,San Marino,CA,91108-2295
Southwestern Academy (San Marino Unified),San Marino Unified,2800 Monterey Rd.,San Marino,CA,91108-1780
Valentine Elementary (San Marino Unified),San Marino Unified,1650 Huntington Dr.,San Marino,CA,91108-2503
Santa Monica College (Santa Monica College District),Santa Monica College District,,,,
Santa Monica-Malibu Adult (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2510 Lincoln Blvd.,Santa Monica,CA,90405
Santa Monica-Malibu Preschool (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1651 16th St.,Santa Monica,CA,90404-3801
SmartStart Developmental Learning Center (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2505 Lincoln Blvd,Santa Monica,CA,90405-3817
St. Anne Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2015 Colorado Ave.,Santa Monica,CA,90404-3415
St. Monica Catholic Elementary School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1039 7th St.,Santa Monica,CA,90403-4003
Sycamore School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,3504 Las Flores Canyon Rd.,Malibu,CA,90265-3434
The Gray Academy (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,"532 Colorado Ave, Santa Monica, Ca 90401",Santa Monica,CA,90401
WakeHeart Learning (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2505 Lincoln Blvd,Santa Monica,CA,90405-3817
Webster Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,3602 Winter Canyon,Malibu,CA,90265-4835
Will Rogers Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2401 14th St.,Santa Monica,CA,90405-2615
Big and Tiny (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1731 Ocean Park Blvd.,Santa Monica,CA,90405-4901
Carlthorp (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,438 San Vicente Blvd.,Santa Monica,CA,90402-1703
Crossroads School for Arts & Sciences (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1714 21St St,Santa Monica,CA,90404-3917
Edison Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2402 Virginia Ave.,Santa Monica,CA,90404-5204
Franklin Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2400 Montana Ave.,Santa Monica,CA,90403-2124
Garden of Angels School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1009 18th St.,Santa Monica,CA,90403-4406
Grant Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2368 Pearl St.,Santa Monica,CA,90405-2853
John Adams Middle (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2425 16th St.,Santa Monica,CA,90405-2621
John Muir Elementary Santa Monica (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2526 Sixth St.,Santa Monica,CA,90405-3811
"Life Grove, LLC. (Santa Monica-Malibu Unified)",Santa Monica-Malibu Unified,6805 Wildlife Rd.,Malibu,CA,90265-4306
Lighthouse Christian Academy (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1424 Yale St.,Santa Monica,CA,90404-3108
Lighthouse Church School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1220 20th St.,Santa Monica,CA,90404-1350
Lincoln Middle (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1501 California Ave.,Santa Monica,CA,90403-4305
Malibu Elementary (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,6955 Fernhill Dr.,Malibu,CA,90265-4238
Malibu High (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,30215 Morning View Dr.,Malibu,CA,90265-3616
Malibu Middle (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,30237 Morning View Dr.,Malibu,CA,90265-3616
McKinley Elementary Santa Monica (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2401 Santa Monica Blvd.,Santa Monica,CA,90404-2044
McKinna Learning Center (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,"28990 Pacific Coast Hwy., Ste. 116",Malibu,CA,90265-3944
New Roads School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,3131 Olympic Blvd.,Santa Monica,CA,90404-5002
Olympic High (Continuation) (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,721 Ocean Park Blvd.,Santa Monica,CA,90405-3811
Our Lady of Malibu (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,3625 South Winter Canyon Rd.,Malibu,CA,90265-3853
Pacifica Christian High School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1730 Wilshire Blvd.,Santa Monica,CA,90403-5510
PS1 Pluralistic School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1225 BRd.way,Santa Monica,CA,90404
Roosevelt Elementary Santa Monica (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,801 Montana Ave.,Santa Monica,CA,90403-1502
Saint Monica Catholic High School (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,1030 Lincoln Blvd.,Santa Monica,CA,90403-4010
Santa Monica Alternative (K-8) (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,2525 Fifth St.,Santa Monica,CA,90405-3703
Santa Monica High (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,601 Pico Blvd.,Santa Monica,CA,90405-1224
Skyblue Mesa Elementary (Saugus Union),Saugus Union,28040 Hardesty Ave.,Canyon Country,CA,91351-1116
Tesoro del Valle Elementary (Saugus Union),Saugus Union,29171 North Bernardo Way,Valencia,CA,91354-1599
West Creek Academy (Saugus Union),Saugus Union,28767 North West Hills Dr.,Valencia,CA,91354-3092
North Park Elementary (Saugus Union),Saugus Union,23335 West Sunset Hills Dr.,Valencia,CA,91355-4917
Plum Canyon Elementary (Saugus Union),Saugus Union,28360 North Alfred Way,Saugus,CA,91350-3839
Rio Vista Elementary (Saugus Union),Saugus Union,20417 Cedarcreek St.,Canyon Country,CA,91351-6670
Rosedell Elementary (Saugus Union),Saugus Union,27853 Urbandale Ave.,Saugus,CA,91350-1914
Santa Clarita Elementary (Saugus Union),Saugus Union,27177 Seco Canyon Rd.,Saugus,CA,91350-1550
Alpha-Kidz International (Saugus Union),Saugus Union,"20655 Soledad Canyon Rd., Ste.s 12",Santa Clarita,CA,91351-2434
Bridgeport Elementary (Saugus Union),Saugus Union,23670 Newhall Ranch Rd.,Santa Clarita,CA,91355-1640
CAlkids Learning Academy (Saugus Union),Saugus Union,26370 Diamond Pl. Unit 503,Santa Clarita,CA,91350-2986
Cedarcreek Elementary (Saugus Union),Saugus Union,27792 Camp Plenty Rd.,Canyon Country,CA,91351-2099
Charles Helmers Elementary (Saugus Union),Saugus Union,27300 North Grandview Dr.,Valencia,CA,91354-1800
Emblem Academy (Saugus Union),Saugus Union,22635 Espuella Dr.,Saugus,CA,91350-2370
Highlands Elementary (Saugus Union),Saugus Union,27332 Catala Ave.,Saugus,CA,91350-2146
James Foster Elementary (Saugus Union),Saugus Union,22500 Pamplico Dr.,Saugus,CA,91350-3667
Legacy Christian Academy (Saugus Union),Saugus Union,27680 Dickason Dr.,Valencia,CA,91355-4047
Mountainview Elementary (Saugus Union),Saugus Union,22201 West Cypress Pl.,Saugus,CA,91350-4212
Academia Avance Charter (SBE - Academia Avance Charter),SBE - Academia Avance Charter,115 North Avenue 53,Highland Park,CA,90042-4005
Los Angeles College Prep Academy (SBE - Los Angeles College Prep Academy),SBE - Los Angeles College Prep Academy,625 Coleman Ave.,Los Angeles,CA,90042-4903
Arroyo Vista Elementary (South Pasadena Unified),South Pasadena Unified,335 El Centro St.,South Pasadena,CA,91030-3006
Holy Family Catholic School (South Pasadena Unified),South Pasadena Unified,1301 Rollin St.,South Pasadena,CA,91030-3736
"Institute for the Redesign of Learning, Almansor Academy (South Pasadena Unified)",South Pasadena Unified,1955 Fremont Ave.,South Pasadena,CA,91030-4507
Marengo Elementary (South Pasadena Unified),South Pasadena Unified,1400 Marengo Ave.,South Pasadena,CA,91030-3951
Monterey Hills Elementary (South Pasadena Unified),South Pasadena Unified,1624 Via del Rey,South Pasadena,CA,91030-4126
South Pasadena Middle (South Pasadena Unified),South Pasadena Unified,1500 Fair Oaks,South Pasadena,CA,91030-4126
South Pasadena Senior High (South Pasadena Unified),South Pasadena Unified,1401 Fremont Ave.,South Pasadena,CA,91030-3809
Loma Vista Elementary (South Whittier Elementary),South Whittier Elementary,13463 East Meyer Rd.,Whittier,CA,90605-3943
Los Altos Elementary (South Whittier Elementary),South Whittier Elementary,12001 Bona Vista Ln.,Whittier,CA,90604-2702
Monte Vista (South Whittier Elementary),South Whittier Elementary,12000 Loma Dr.,Whittier,CA,90604-2643
Richard L. Graves Middle (South Whittier Elementary),South Whittier Elementary,13243 East Los Nietos Rd.,Whittier,CA,90605-3295
Carmela Elementary (South Whittier Elementary),South Whittier Elementary,13300 Lakeland Rd.,Whittier,CA,90605-3241
Howard J. McKibben Elementary (South Whittier Elementary),South Whittier Elementary,10550 Mills Ave.,Whittier,CA,90604-2439
Lake Marie Elementary (South Whittier Elementary),South Whittier Elementary,10001 Carmenita Rd.,Whittier,CA,90605-3206
Southern California ROC (Southern California ROC),Southern California ROC,2300 Crenshaw Blvd.,Torrance,CA,90501-3324
STEM Preparatory Elementary (STEM Prep Schools District),STEM Prep Schools District,1374 West 35th St.,Los Angeles,CA,90007-3410
Crown Preparatory Academy (STEM Prep Schools District),STEM Prep Schools District,2055 West 24th St.,Los Angeles,CA,90018-1925
Math and Science College Prep (STEM Prep Schools District),STEM Prep Schools District,3202 W Adams Blvd.,Los Angeles,CA,90018
Canyon Springs Community Elementary (Sulphur Springs Union),Sulphur Springs Union,19059 Vicci St.,Canyon Country,CA,91351-3380
Cornerstone Christian (Sulphur Springs Union),Sulphur Springs Union,17649 Scherzinger Ln.,Santa Clarita,CA,91387-1649
Fair Oaks Ranch Community (Sulphur Springs Union),Sulphur Springs Union,26933 North Silverbell Ln.,Santa Clarita,CA,91387-3802
Golden Oak Community (Sulphur Springs Union),Sulphur Springs Union,25201 Via Princessa,Santa Clarita,CA,91321-1429
Leona H. Cox Community Elementary (Sulphur Springs Union),Sulphur Springs Union,18643 Oakmoor,Canyon Country,CA,91351-2936
Mint Canyon Community Elementary (Sulphur Springs Union),Sulphur Springs Union,16400 Sierra Hwy.,Canyon Country,CA,91351-1414
Mitchell Community Elementary (Sulphur Springs Union),Sulphur Springs Union,16821 West Goodvale St.,Canyon Country,CA,91387-1714
Pinetree Community Elementary (Sulphur Springs Union),Sulphur Springs Union,29156 Lotusgarden Dr.,Canyon Country,CA,91387-1840
Santa Clarita Christian (Sulphur Springs Union),Sulphur Springs Union,27249 Luther Dr.,Santa Clarita,CA,91351-3711
Sulphur Springs Community Elementary (Sulphur Springs Union),Sulphur Springs Union,16628 West Lost Canyon Rd.,Canyon Country,CA,91387-3241
Sulphur Springs Special Education Consortia (Sulphur Springs Union),Sulphur Springs Union,27000 Weyerhaeuser Way,Santa Clarita,CA,91351-4947
Valley View Community Elementary (Sulphur Springs Union),Sulphur Springs Union,19414 Sierra Estates Dr.,Newhall,CA,91321-2196
Synergy Charter Academy (Synergy Academy District),Synergy Academy District,900 East 33rd St.,Los Angeles,CA,90011-2527
Synergy Kinetic Academy (Synergy Academy District),Synergy Academy District,1420 East Adams Blvd.,Los Angeles,CA,90011-1820
Synergy Quantum Academy (Synergy Academy District),Synergy Academy District,300 East 53rd St.,Los Angeles,CA,90011-4522
TEACH Academy of Technologies (TEACH District),TEACH District,10045 South Western Ave.,Los Angeles,CA,90047
TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary (TEACH District),TEACH District,8505 South Western Ave.,Los Angeles,CA,90047-3053
TEACH Tech Charter High (TEACH District),TEACH District,10616 South Western Ave.,Los Angeles,CA,90047-4254
Ark Christian Academy (Temple City Unified),Temple City Unified,6539 Rosemead Blvd.,San Gabriel,CA,91775-1936
Cloverly Elementary (Temple City Unified),Temple City Unified,5476 Cloverly Ave.,Temple City,CA,91780-3107
Dr. Doug Sears Learning Center (Temple City Unified),Temple City Unified,9229 Pentland St.,Temple City,CA,91780-3736
Emperor Elementary (Temple City Unified),Temple City Unified,6415 Muscatel Ave.,San Gabriel,CA,91775-1845
La Rosa Elementary (Temple City Unified),Temple City Unified,9301 La Rosa Dr.,Temple City,CA,91780-3734
Longden Elementary (Temple City Unified),Temple City Unified,9501 Wendon St.,Temple City,CA,91780-1618
Oak Avenue Intermediate (Temple City Unified),Temple City Unified,6623 Oak Ave.,Temple City,CA,91780-1310
Oasis Trilingual Community School (Temple City Unified),Temple City Unified,5957 Golden West Ave.,Temple City,CA,91780-2227
St. Luke Catholic School (Temple City Unified),Temple City Unified,5521 North Cloverly Ave.,Temple City,CA,91780-2542
Temple City Adult Education (Temple City Unified),Temple City Unified,9229 Pentland Ave.,Temple City,CA,91780-1305
Temple City Alternative (Temple City Unified),Temple City Unified,9229 Pentland St.,Temple City,CA,91780-3736
Temple City High (Temple City Unified),Temple City Unified,9501 Lemon Ave.,Temple City,CA,91780-1305
Anza Elementary (Torrance Unified),Torrance Unified,21400 Ellinwood Dr.,Torrance,CA,90503-5410
Arlington Elementary (Torrance Unified),Torrance Unified,17800 Van Ness Ave.,Torrance,CA,90504-4330
Bert M. Lynn Middle (Torrance Unified),Torrance Unified,5038 Halison St.,Torrance,CA,90503-1920
Bishop Montgomery High (Torrance Unified),Torrance Unified,5430 Torrance Blvd.,Torrance,CA,90503-4006
Branch of Hope School (Torrance Unified),Torrance Unified,"2370 West Carson St., Ste. 100",Torrance,CA,90501-7104
Calle Mayor Middle (Torrance Unified),Torrance Unified,4800 Calle Mayor,Torrance,CA,90505-4401
Casimir Middle (Torrance Unified),Torrance Unified,17220 Casimir Ave.,Torrance,CA,90504-2936
Edison Elementary (Torrance Unified),Torrance Unified,3800 182Nd St.,Torrance,CA,90504-4837
Edward J. Richardson Middle (Torrance Unified),Torrance Unified,23751 Nancy Lee Ln.,Torrance,CA,90505-5416
