id,district_x,district_y,original_name_x,original_name_y,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
868,LAUSD,LAUSD,Maurice Sendak Elementary Arts/Comm/Technology Magnet,Maurice Sendak Elementary,Active,Maurice Sendak Elementary Arts/Comm/Technology Magnet (LAUSD),Maurice Sendak Elementary Arts/Comm/Technology Magnet,True,11414 W Tiara St,11414 West Tiara St.,North Hollywood,North Hollywood, 90.10309278350516,False
869,LAUSD,,Mayall Street Academy of Arts/Technology Magnet,,,Mayall Street Academy of Arts/Technology Magnet (LAUSD),Mayall Street Academy of Arts/Technology Magnet,True,16701 Mayall St,,North Hills,,,False
870,LAUSD,LAUSD,Mayberry Street Elementary,Mayberry Street Elementary,Active,Mayberry Street Elementary (LAUSD),Mayberry Street Elementary,True,2414 Mayberry St,2414 Mayberry St.,Los Angeles,Los Angeles, 100.0,False
871,LAUSD,LAUSD,Mayberry Street Elementary DL Two-Way Im Spanish,Mayberry Street Elementary,Active,Mayberry Street Elementary DL Two-Way Im Spanish (LAUSD),Mayberry Street Elementary DL Two-Way Im Spanish,True,2414 Mayberry St,2414 Mayberry St.,Los Angeles,Los Angeles, 95.0,False
872,LAUSD,LAUSD,Maywood Academy Senior High,Maywood Academy High,Active,Maywood Academy Senior High (LAUSD),Maywood Academy Senior High,True,6125 Pine Ave,6125 Pine Ave.,Maywood,Maywood, 95.0,False
873,LAUSD,LAUSD,Maywood Center for Enriched Studies (MaCES) Magnet,Maywood Center for Enriched Studies,Active,Maywood Center for Enriched Studies (MaCES) Magnet (LAUSD),Maywood Center for Enriched Studies (MaCES) Magnet,True,5800 King Ave,5800 King Ave.,Maywood,Maywood, 95.0,False
874,LAUSD,,Maywood Elementary Computer Science Magnet,,,Maywood Elementary Computer Science Magnet (LAUSD),Maywood Elementary Computer Science Magnet,True,5200 Cudahy Ave,,Maywood,,,False
875,LAUSD,LAUSD,Maywood Elementary School,Maywood Elementary,Active,Maywood Elementary School (LAUSD),Maywood Elementary School,True,5200 Cudahy Ave,5200 Cudahy Ave.,Maywood,Maywood, 95.0,False
876,LAUSD,LAUSD,McKinley Avenue Elementary,McKinley Avenue Elementary,Active,McKinley Avenue Elementary (LAUSD),McKinley Avenue Elementary,True,7812 Mc Kinley Ave,7812 McKinley Ave.,Los Angeles,Los Angeles, 99.00990099009901,False
877,LAUSD,,Melrose Avenue Elementary Math/Science/Technology Magnet,,,Melrose Avenue Elementary Math/Science/Technology Magnet (LAUSD),Melrose Avenue Elementary Math/Science/Technology Magnet,True,731 N Detroit St,,Los Angeles,,,False
878,LAUSD,LAUSD,Melvin Avenue Elementary,Melvin Avenue Elementary,Active,Melvin Avenue Elementary (LAUSD),Melvin Avenue Elementary,True,7700 Melvin Ave,7700 Melvin Ave.,Reseda,Reseda, 100.0,False
879,LAUSD,,Melvin Avenue Elementary Humanities/Leadership Magnet,,,Melvin Avenue Elementary Humanities/Leadership Magnet (LAUSD),Melvin Avenue Elementary Humanities/Leadership Magnet,True,7700 Melvin Ave,,Reseda,,,False
880,LAUSD,LAUSD,Menlo Avenue Elementary,Menlo Avenue Elementary,Active,Menlo Avenue Elementary (LAUSD),Menlo Avenue Elementary,True,4156 Menlo Ave,4156 Menlo Ave.,Los Angeles,Los Angeles, 100.0,False
881,LAUSD,,Menlo Avenue Elementary DL Two-Way Im Spanish,,,Menlo Avenue Elementary DL Two-Way Im Spanish (LAUSD),Menlo Avenue Elementary DL Two-Way Im Spanish,True,4156 Menlo Ave,,Los Angeles,,,False
882,LAUSD,LAUSD,Mervyn M Dymally Senior High,Mervyn M. Dymally High,Active,Mervyn M Dymally Senior High (LAUSD),Mervyn M Dymally Senior High,True,8800 S San Pedro St,8800 South San Pedro St.,Los Angeles,Los Angeles, 89.52380952380953,False
883,LAUSD,,Mervyn M Dymally SH Biomed Science/Research Magnet,,,Mervyn M Dymally SH Biomed Science/Research Magnet (LAUSD),Mervyn M Dymally SH Biomed Science/Research Magnet,True,8800 S San Pedro St,,Los Angeles,,,False
884,LAUSD,LAUSD,Metropolitan Continuation High,Metropolitan Continuation,Active,Metropolitan Continuation High (LAUSD),Metropolitan Continuation High,True,727 S Wilson St,727 South Wilson St.,Los Angeles,Los Angeles, 91.2621359223301,False
885,LAUSD,LAUSD,Meyler Street Elementary,Meyler Street Elementary,Active,Meyler Street Elementary (LAUSD),Meyler Street Elementary,True,1123 W 223rd St,1123 West 223rd St.,Torrance,Torrance, 96.84210526315789,False
886,LAUSD,LAUSD,Meyler Street Elementary DL Two-Way Im Spanish,Meyler Street Elementary,Active,Meyler Street Elementary DL Two-Way Im Spanish (LAUSD),Meyler Street Elementary DL Two-Way Im Spanish,True,1123 W 223rd St,1123 West 223rd St.,Torrance,Torrance, 89.89247311827957,False
887,LAUSD,LAUSD,Michelle Obama Elementary School,Michelle Obama Elementary,Active,Michelle Obama Elementary School (LAUSD),Michelle Obama Elementary School,True,8150 Cedros Ave,8150 North Cedros Ave.,Panorama City,Panorama City, 89.3,False
888,LAUSD,,Micheltorena Street DL Two-Way Im Spanish,,,Micheltorena Street DL Two-Way Im Spanish (LAUSD),Micheltorena Street DL Two-Way Im Spanish,True,1511 Micheltorena St,,Los Angeles,,,False
