,district_x,name,address_x,city,original_name_x,Match,simple_name,district_y,status,address_y,Score,,,
113,Charter,youthbuild-compton,1108 N. Oleander Avenue,Compton,YouthBuild Compton,"[('com', 90.0, 'com')]",com,,,,90,,,
114,Charter,youthbuild-east-la,110 S. Garfield Ave.,Montebello,YouthBuild East LA,[],,,,,,,,
115,Charter,youthbuild-el-monte-/-sgvcc,3041 Peck Rd.,El Monte,YouthBuild El Monte / SGVCC,[],,,,,,,,
116,Charter,youthbuild-lennox-/-sbwib,5021 Lennox Blvd.,Lennox,YouthBuild Lennox / SBWIB,[],,,,,,,,
117,Charter,youthbuild-norwalk-/-field-of-dreams,"12440 Firestone Blvd., Suite 2001",Norwalk,YouthBuild Norwalk / Field of Dreams,[],,,,,,,,
118,Charter,youthbuild-pomona-/-sgvcc,305 E Arrow Hwy.,Pomona,YouthBuild Pomona / SGVCC,"[('pomo', 90.0, 'pomo')]",pomo,,,,90,,,
119,Charter,youthbuild-south-la-/-crcd-academy,400 West Washington Blvd.,Los Angeles,YouthBuild South LA / CRCD Academy,[],,,,,,,,
120,Charter,youthbuild-west-adams-/-home-sweet-home,4103 West Adams Blvd.,Los Angeles,YouthBuild West Adams / Home Sweet Home,[],,,,,,,,
121,Charter,youth-policy-institute-(ypi)-charter-schools,,,Youth Policy Institute (YPI) Charter Schools,[],,,,,,,,
122,Culver City,culver-city-high-school,4401 Elenda Street,Culver City,Culver City High School,"[('culver city high', 95.0, 'culver-city-high')]",culver-city-high,,,,95,,,
